rate_type,currency,date,value
Closing rate,HKD,2024-03-31,7.82418
Average rate,SGD,2024-03-31,1.3407
Average rate,PHP,2024-03-31,55.8503
Average rate,IDR,2024-03-31,15695.8
Average rate,EUR,2024-03-31,0.920125
Average rate,HKD,2024-03-31,7.82261
Closing rate,SGD,2024-04-30,1.36258
Closing rate,PHP,2024-04-30,57.6766
Closing rate,IDR,2024-04-30,16250.4
Closing rate,EUR,2024-04-30,0.934763
Closing rate,HKD,2024-04-30,7.82272
Average rate,SGD,2024-04-30,1.357
Average rate,PHP,2024-04-30,56.9643
Average rate,IDR,2024-04-30,16084.9
Average rate,EUR,2024-04-30,0.932631
Average rate,HKD,2024-04-30,7.83071
Closing rate,SGD,2024-05-31,1.3511
Closing rate,PHP,2024-05-31,58.4934
Closing rate,IDR,2024-05-31,16244.1
Closing rate,EUR,2024-05-31,0.922378
Closing rate,HKD,2024-05-31,7.81797
Average rate,SGD,2024-05-31,1.35081
Average rate,PHP,2024-05-31,57.7229
Average rate,IDR,2024-05-31,16048.2
Average rate,EUR,2024-05-31,0.925126
Average rate,HKD,2024-05-31,7.81093
Closing rate,SGD,2024-06-30,1.35568
Closing rate,PHP,2024-06-30,58.3281
Closing rate,IDR,2024-06-30,16344.2
Closing rate,EUR,2024-06-30,0.933039
Closing rate,HKD,2024-06-30,7.80763
Average rate,SGD,2024-06-30,1.35229
Average rate,PHP,2024-06-30,58.6386
Average rate,IDR,2024-06-30,16347.7
Average rate,EUR,2024-06-30,0.929295
Average rate,HKD,2024-06-30,7.8099
Closing rate,SGD,2024-07-31,1.33882
Closing rate,PHP,2024-07-31,58.3642
Closing rate,IDR,2024-07-31,16269.0
Closing rate,EUR,2024-07-31,0.923755
Closing rate,HKD,2024-07-31,7.81212
Average rate,SGD,2024-07-31,1.34547
Average rate,PHP,2024-07-31,58.4333
Average rate,IDR,2024-07-31,16221.8
Average rate,EUR,2024-07-31,0.921249
Average rate,HKD,2024-07-31,7.80908
Closing rate,SGD,2024-08-31,1.30642
Closing rate,PHP,2024-08-31,56.212
Closing rate,IDR,2024-08-31,15517.2
Closing rate,EUR,2024-08-31,0.905117
Closing rate,HKD,2024-08-31,7.79681
Average rate,SGD,2024-08-31,1.31552
Average rate,PHP,2024-08-31,56.8828
Average rate,IDR,2024-08-31,15739.5
Average rate,EUR,2024-08-31,0.907705
Average rate,HKD,2024-08-31,7.79615
Closing rate,SGD,2024-09-30,1.28191
Closing rate,PHP,2024-09-30,56.0308
Closing rate,IDR,2024-09-30,15147.3
Closing rate,EUR,2024-09-30,0.895916
Closing rate,HKD,2024-09-30,7.76999
Average rate,SGD,2024-09-30,1.29564
Average rate,PHP,2024-09-30,55.9719
Average rate,IDR,2024-09-30,15308.2
Average rate,EUR,2024-09-30,0.90042
Average rate,HKD,2024-09-30,7.79083
Closing rate,SGD,2024-10-31,1.32165
Closing rate,PHP,2024-10-31,58.2192
Closing rate,IDR,2024-10-31,15697.5
Closing rate,EUR,2024-10-31,0.920427
Closing rate,HKD,2024-10-31,7.77289
Average rate,SGD,2024-10-31,1.30997
Average rate,PHP,2024-10-31,57.4145
Average rate,IDR,2024-10-31,15574.2
Average rate,EUR,2024-10-31,0.917448
Average rate,HKD,2024-10-31,7.76972
Closing rate,SGD,2024-11-30,1.33739
Closing rate,PHP,2024-11-30,58.5215
Closing rate,IDR,2024-11-30,15817.2
Closing rate,EUR,2024-11-30,0.945215
Closing rate,HKD,2024-11-30,7.78174
Average rate,SGD,2024-11-30,1.33584
Average rate,PHP,2024-11-30,58.6196
Average rate,IDR,2024-11-30,15811.5
Average rate,EUR,2024-11-30,0.941077
Average rate,HKD,2024-11-30,7.77962
Closing rate,SGD,2024-12-31,1.36249
Closing rate,PHP,2024-12-31,57.9867
Closing rate,IDR,2024-12-31,16175.3
Closing rate,EUR,2024-12-31,0.962646
Closing rate,HKD,2024-12-31,7.76553
Average rate,SGD,2024-12-31,1.35008
Average rate,PHP,2024-12-31,58.3136
Average rate,IDR,2024-12-31,16027.7
Average rate,EUR,2024-12-31,0.954468
Average rate,HKD,2024-12-31,7.77316
Closing rate,SGD,2025-01-31,1.35588
Closing rate,PHP,2025-01-31,58.3836
Closing rate,IDR,2025-01-31,16303.3
Closing rate,EUR,2025-01-31,0.962967
Closing rate,HKD,2025-01-31,7.79209
Average rate,SGD,2025-01-31,1.36183
Average rate,PHP,2025-01-31,58.3229
Average rate,IDR,2025-01-31,16239.4
Average rate,EUR,2025-01-31,0.966252
Average rate,HKD,2025-01-31,7.78408
Closing rate,SGD,2025-02-28,1.34924
Closing rate,PHP,2025-02-28,57.9553
Closing rate,IDR,2025-02-28,16546.2
Closing rate,EUR,2025-02-28,0.962234
Closing rate,HKD,2025-02-28,7.77748
Average rate,SGD,2025-02-28,1.34685
Average rate,PHP,2025-02-28,57.9777
Average rate,IDR,2025-02-28,16313.5
Average rate,EUR,2025-02-28,0.960364
Average rate,HKD,2025-02-28,7.78323
Closing rate,SGD,2025-03-31,1.34216
Closing rate,PHP,2025-03-31,57.2407
Closing rate,IDR,2025-03-31,16617.1
Closing rate,EUR,2025-03-31,0.924045
Closing rate,HKD,2025-03-31,7.77904
Average rate,SGD,2025-03-31,1.33642
Average rate,PHP,2025-03-31,57.3714
Average rate,IDR,2025-03-31,16451.4
Average rate,EUR,2025-03-31,0.927065
Average rate,HKD,2025-03-31,7.77307
